"Trades Count","Win Rate %","Iteration"
"105","61.9","1"
"21518","41.36","2"
"706","41.93","3"
"706","41.93","4"
"105","61.9","5"
"526","39.16","6"
"40","37.5","7"
"15","33.33","8"
"20","25","9"
"105","61.9","10"
"526","39.16","11"
"40","37.5","12"
"15","33.33","13"
"20","25","14"
"21","71.43","15"
"108","46.3","16"
"8","37.5","17"
"3","33.33","18"
"4","25","19"
"144","48.61","20"
"4531","51.36","21"
"4531","51.36","22"
"4510","51.4","23"
"144","42.36","24"
"143","52.45","25"
"144","40.97","26"
"144","40.97","27"
"144","45.83","28"
"144","45.83","29"
"143","42.36","30"
"144","42.36","31"
"143","42.36","32"
"143","42.36","33"
"144","41.96","34"
"143","41.96","35"
"143","45.83","36"
"144","45.83","37"
"143","46.15","38"
"143","46.15","39"
"144","39.16","40"
"144","39.16","41"
"143","42.36","42"
"144","42.36","43"
"144","41.26","44"
"144","41.26","45"
"144","52.45","46"
"144","52.45","47"
"144","47.92","48"
"143","47.92","49"
"144","41.96","50"
"144","41.96","51"
"144","50.35","52"
"144","50.35","53"
"144","43.75","54"
"143","43.75","55"
"144","42.36","56"
"144","42.36","57"
"143","39.16","58"
"4598","39.16","59"
"143","42.36","60"
"144","42.36","61"
"143","43.75","62"
"144","43.75","63"
"144","46.53","64"
"144","46.53","65"
"144","44.44","66"
"144","44.44","67"
"143","48.61","68"
"144","48.61","69"
"144","42.36","70"
"4613","42.36","71"
"143","46.85","72"
"144","46.85","73"
"144","42.36","74"
"143","42.36","75"
"143","42.36","76"
"143","42.36","77"
"143","40.97","78"
"144","40.97","79"
"143","47.22","80"
"143","47.22","81"
"144","45.83","82"
"143","45.83","83"
"144","51.75","84"
"143","51.75","85"
"143","48.61","86"
"143","48.61","87"
"143","42.36","88"
"143","42.36","89"
"143","44.06","90"
"143","44.06","91"
"144","43.52","92"
"143","48.25","93"
"144","48.25","94"
"144","45.83","95"
"144","45.83","96"
"144","47.55","97"
"143","47.55","98"
"143","42.36","99"
"143","42.36","100"
"144","42.36","101"
"143","42.36","102"
"144","42.36","103"
"144","42.36","104"
"143","42.36","105"
"144","42.36","106"
"143","45.83","107"
"143","45.83","108"
"143","46.15","109"
"143","46.15","110"
"143","47.92","111"
"143","47.92","112"
"143","40.28","113"
"143","40.28","114"
"144","41.69","115"
"143","41.69","116"
"144","41.26","117"
"143","41.26","118"
"143","45.83","119"
"143","45.83","120"
"143","44.44","121"
"144","44.44","122"
"144","46.15","123"
"143","46.15","124"
"143","52.45","125"
"143","52.45","126"
"144","52.45","127"
"144","52.45","128"
"144","52.45","129"
"143","52.45","130"
"144","52.08","131"
"144","52.08","132"
"144","52.45","133"
"143","52.45","134"
"143","51.75","135"
"143","51.75","136"
"143","51.39","137"
"144","51.39","138"
"144","52.45","139"
"144","52.45","140"
"144","50.69","141"
"143","50.69","142"
"144","52.45","143"
"144","52.45","144"
"144","52.45","145"
"143","52.45","146"
"144","51.05","147"
"143","51.05","148"
"143","48.25","149"
"143","48.25","150"
"143","48.95","151"
"144","48.95","152"
"143","51.75","153"
"143","51.75","154"
"143","52.45","155"
"144","52.45","156"
"144","48.61","157"
"143","48.61","158"
"143","51.75","159"
"144","51.75","160"
"143","50.69","161"
"144","50.69","162"
"143","51.39","163"
"143","51.39","164"
"143","52.08","165"
"144","52.08","166"
"143","52.08","167"
"0","52.08","168"
"144","52.45","169"
"144","52.45","170"
"143","48.95","171"
"143","48.95","172"
"143","52.45","173"
"143","52.45","174"
"144","52.08","175"
"143","52.08","176"
"143","51.75","177"
"144","51.75","178"
"143","51.39","179"
"144","51.39","180"
"143","50.69","181"
"144","50.69","182"
"143","51.05","183"
"143","51.05","184"
"143","52.08","185"
"143","52.08","186"
"143","48.25","187"
"143","48.25","188"
"143","51.75","189"
"143","51.75","190"
"1","51.05","191"
"144","51.05","192"
"143","51.75","193"
"143","51.75","194"
"143","51.75","195"
"143","51.75","196"
"143","51.75","197"
"143","51.75","198"
"143","51.75","199"
"143","51.75","200"
"143","52.45","201"
"143","52.45","202"
"144","50","203"
"143","50","204"
"143","52.45","205"
"143","52.45","206"
"143","50.69","207"
"143","50.69","208"
"143","52.45","209"
"143","52.45","210"
"143","51.75","211"
"144","51.75","212"
"143","51.75","213"
"143","51.75","214"
"0","51.75","215"
"143","51.75","216"
"143","50","217"
"143","50","218"
"143","47.92","219"
"144","47.92","220"
"143","50.35","221"
"143","50.35","222"
"143","46.85","223"
"144","46.85","224"
"143","52.45","225"
"143","52.45","226"
"143","50","227"
"143","50","228"
"143","50","229"
"143","50","230"
"143","50.69","231"
"143","50.69","232"
"143","51.05","233"
"144","51.05","234"
"144","52.08","235"
"143","52.08","236"
"144","50.69","237"
"143","50.69","238"
"1","50.69","239"
"143","50.69","240"
"143","47.55","241"
"143","47.55","242"
"143","52.45","243"
"143","52.45","244"
"143","52.45","245"
"143","52.45","246"
"143","51.75","247"
"144","51.75","248"
"143","50.69","249"
"143","50.69","250"
"144","50","251"
"144","50","252"
"144","50.69","253"
"143","50.69","254"
"144","52.08","255"
