symbol,entry_time,entry_price,exit_reason,bars_held,gross_r,net_r,mfe_r,mae_r,reached_025r,reached_050r,reached_100r
ADANIENT,2023-07-07T10:51:00+05:30,2312.2,STOP_LOSS,37,-2.0,-2.18,2.29056004268838,1.9546112364273067,True,True,True
ADANIENT,2023-07-12T09:30:00+05:30,2333.7,STOP_LOSS,25,-2.0,-2.18,1.4623757948189444,1.4071918025615524,True,True,True
ADANIENT,2023-07-13T13:55:00+05:30,2299.6,STOP_LOSS,7,-2.0,-2.18,1.0010810773757908,1.779699693112236,True,True,True
ADANIENT,2023-07-20T09:43:00+05:30,2333.6,STOP_LOSS,2,-2.0,-2.18,0.23752580577234422,1.345979566042924,False,False,False
ADANIENT,2023-07-27T13:03:00+05:30,2366.3,STOP_LOSS,1,-2.0,-2.18,0.039975883840464965,1.7989147728225594,False,False,False
ADANIENT,2023-08-01T10:35:00+05:30,2395.6,STOP_LOSS,6,-2.0,-2.18,0.4776693644732351,1.273784971928627,True,False,False
ADANIENT,2023-08-02T13:28:00+05:30,2394.7,STOP_LOSS,17,-2.0,-2.18,2.145079337945087,1.0307524091423572,True,True,True
ADANIENT,2023-08-07T09:57:00+05:30,2442.8,VWAP_Z_TARGET,15,8.205751029739748,8.025751029739748,4.102875514869874,0.19405492300068136,True,True,True
ADANIENT,2023-08-08T09:29:00+05:30,2448.7,STOP_LOSS,3,-2.0,-2.18,0.08416070235736534,1.1408450763997091,False,False,False
ADANIENT,2023-08-08T11:13:00+05:30,2430.3,STOP_LOSS,2,-2.0,-2.18,0.9834732381554842,1.0303052971153706,True,True,False
ADANIENT,2023-08-08T11:36:00+05:30,2409.6,STOP_LOSS,2,-2.0,-2.18,0.743410456556189,1.3009682989732732,True,True,False
ADANIENT,2023-08-08T12:33:00+05:30,2396.4,TIME_HORIZON,40,1.2814697202264715,1.1014697202264716,1.3223676900209598,0.5044082941317529,True,True,True
ADANIENT,2023-08-11T09:25:00+05:30,2445.6,TIME_HORIZON,40,5.019738499107417,4.839738499107417,2.581239939114521,0.4995948269253632,True,True,True
ADANIENT,2023-08-25T10:32:00+05:30,2418.5,STOP_LOSS,4,-2.0,-2.18,1.7025897171399649,1.3364413908733128,True,True,True
ADANIENT,2023-08-28T10:40:00+05:30,2408.2,STOP_LOSS,3,-2.0,-2.18,0.9429810095224853,2.2788707730125686,True,True,False
ADANIENT,2023-08-31T09:16:00+05:30,2381.1,TIME_HORIZON,40,-0.9655089157043292,-1.1455089157043292,1.9106197557247824,0.992706349949528,True,True,True
ADANIENT,2023-09-25T11:25:00+05:30,2364.6,STOP_LOSS,3,-2.0,-2.18,0.4291581836907446,1.1158112775959619,True,False,False
ADANIENT,2023-09-25T11:43:00+05:30,2351.0,TIME_HORIZON,40,14.013739431324339,13.83373943132434,8.197357288711572,0.13605572263424842,True,True,True
ADANIENT,2023-09-29T12:54:00+05:30,2340.3,STOP_LOSS,9,-2.0,-2.18,0.7740188729198639,1.1786196474008472,True,True,False
ADANIENT,2023-10-03T09:46:00+05:30,2314.5,TIME_HORIZON,40,1.9874883453817327,1.8074883453817328,1.917751912210505,0.7322325482985247,True,True,True
ADANIENT,2023-10-09T09:16:00+05:30,2354.6,STOP_LOSS,6,-2.0,-2.18,0.5628627117591608,1.1060906777592987,True,True,False
ADANIENT,2023-10-16T15:15:00+05:30,2358.6,STOP_LOSS,4,-2.0,-2.18,0.4924667288850165,1.7236335510975578,True,False,False
ADANIENT,2023-10-18T11:13:00+05:30,2340.3,TIME_HORIZON,40,1.3226830988990754,1.1426830988990755,4.282973844054306,0.34641700209274456,True,True,True
ADANIENT,2023-10-20T13:12:00+05:30,2312.2,TIME_HORIZON,40,1.7389939908839611,1.5589939908839612,2.4635748204189176,0.6883517880580767,True,True,True
ADANIENT,2023-10-23T09:56:00+05:30,2302.7,STOP_LOSS,6,-2.0,-2.18,0.9391626185519774,1.0208289332085903,True,True,False
ADANIENT,2023-10-23T11:11:00+05:30,2261.7,STOP_LOSS,15,-2.0,-2.18,1.9251200116928715,1.115694552231053,True,True,True
ADANIENT,2023-10-25T11:01:00+05:30,2228.9,STOP_LOSS,12,-2.0,-2.18,2.1218396969483178,1.429449901102045,True,True,True
ADANIENT,2023-10-25T12:51:00+05:30,2198.8,STOP_LOSS,4,-2.0,-2.18,1.623050127180917,1.1218140584928027,True,True,True
ADANIENT,2023-10-26T09:18:00+05:30,2158.1,STOP_LOSS,3,-2.0,-2.18,0.09226826954287308,1.6954294528498863,False,False,False
ADANIENT,2023-10-31T13:18:00+05:30,2218.2,STOP_LOSS,2,-2.0,-2.18,0.3258769650326063,1.6619725216662626,True,False,False
ADANIENT,2023-11-01T11:55:00+05:30,2198.8,STOP_LOSS,3,-2.0,-2.18,0.678696842932897,1.6288724230390146,True,True,False
ADANIENT,2023-11-01T13:17:00+05:30,2167.4,TIME_HORIZON,40,1.9939153813498363,1.8139153813498363,3.8971982453659386,0.18126503466815444,True,True,True
ADANIENT,2023-11-01T14:44:00+05:30,2143.5,STOP_LOSS,8,-2.0,-2.18,1.5707823189413173,1.1937945623954582,True,True,True
ADANIENT,2023-11-09T11:48:00+05:30,2171.3,TIME_HORIZON,40,0.18311075151214082,0.0031107515121408247,2.380439769659912,0.6866653181711526,True,True,True
ADANIENT,2023-11-10T14:28:00+05:30,2136.9,STOP_LOSS,1,-2.0,-2.18,0.6516833886473273,1.1404459301332859,True,True,False
ADANIENT,2023-11-16T09:24:00+05:30,2148.8,STOP_LOSS,6,-2.0,-2.18,0.6975107225538386,1.4747369562567054,True,True,False
ADANIENT,2023-11-20T09:33:00+05:30,2128.4,STOP_LOSS,14,-2.0,-2.18,0.9430447916681617,1.3664526573150486,True,True,False
ADANIENT,2023-11-20T11:24:00+05:30,2117.8,STOP_LOSS,1,-2.0,-2.18,0.0,1.0185434863638962,False,False,False
ADANIENT,2023-11-20T14:19:00+05:30,2078.5,TIME_HORIZON,40,3.0500600321878975,2.8700600321878973,1.9735682561215888,0.1196101973407312,True,True,True
