symbol,gross_r,net_r,exit_reason,bars_held,size_mult
AXISBANK,-0.5,-0.525,STOP_LOSS,6,0.5
AXISBANK,1.6125,1.5875,VWAP_Z_TARGET,12,0.5
AXISBANK,-0.5,-0.525,STOP_LOSS,36,0.5
AXISBANK,-0.5481,-0.5755,STOP_LOSS,5,0.5480983088556972
AXISBANK,-0.6733,-0.7069,STOP_LOSS,13,0.6732737679557697
AXISBANK,1.173,1.1381,VWAP_Z_TARGET,19,0.6986921956474927
AXISBANK,0.44,0.4101,VWAP_Z_TARGET,1,0.5997199244096504
AXISBANK,0.1047,0.0745,VWAP_Z_TARGET,4,0.6025332906361466
AXISBANK,-0.6257,-0.657,STOP_LOSS,8,0.6256799773465506
AXISBANK,-0.6935,-0.7282,STOP_LOSS,10,0.6935031880276832
BAJAJFINSV,-0.7586,-0.7966,STOP_LOSS,3,0.7586481606328257
BAJAJFINSV,1.7035,1.6622,VWAP_Z_TARGET,18,0.8256660308176776
BAJAJFINSV,-0.653,-0.6856,STOP_LOSS,27,0.6529662215723744
BAJAJFINSV,-0.6315,-0.6631,STOP_LOSS,8,0.6314802186684326
BAJAJFINSV,2.5315,2.4971,VWAP_Z_TARGET,17,0.6867780760953209
BAJAJFINSV,1.5384,1.5018,TIME_HORIZON,40,0.7321280007714706
BAJAJFINSV,-0.5875,-0.6169,STOP_LOSS,1,0.5874896005400294
BAJAJFINSV,-0.7461,-0.7834,STOP_LOSS,5,0.7460500701890544
BAJAJFINSV,-0.5972,-0.6271,STOP_LOSS,7,0.597235049132338
BAJAJFINSV,-0.7931,-0.8327,STOP_LOSS,3,0.7930645343926366
BAJAJFINSV,-0.9055,-0.9508,STOP_LOSS,35,0.9055341343670779
BAJAJFINSV,1.1369,1.0994,VWAP_Z_TARGET,4,0.7509883297113763
BAJAJFINSV,-0.8207,-0.8618,STOP_LOSS,20,0.8207449141501248
BAJAJFINSV,-0.8433,-0.8854,STOP_LOSS,7,0.8432669669473143
BAJFINANCE,0.7187,0.6854,VWAP_Z_TARGET,1,0.6652868768631199
BAJFINANCE,-0.5446,-0.5718,STOP_LOSS,1,0.5445658977648093
BAJFINANCE,-0.6148,-0.6455,STOP_LOSS,16,0.6147595909951116
BAJFINANCE,-0.5726,-0.6012,STOP_LOSS,2,0.5725852348233387
BAJFINANCE,2.7686,2.74,TIME_HORIZON,40,0.5735012164392054
BAJFINANCE,-0.5,-0.525,STOP_LOSS,4,0.5
BAJFINANCE,1.1463,1.1132,TIME_HORIZON,40,0.6632453257849403
BAJFINANCE,-0.7942,-0.8339,STOP_LOSS,7,0.7942331511098953
BAJFINANCE,-0.931,-0.9775,STOP_LOSS,39,0.9309632057769267
BAJFINANCE,2.1625,2.1128,TIME_HORIZON,40,0.9929643440783432
