Z_Entry,Stop_ATR,Target_ATR,Trades,Win_Rate%,Expectancy_bps,Sharpe
-2.0,1.0,3.0,1894,48.2,11.0,22.31
-2.5,1.0,3.0,669,48.88,11.0,21.24
-1.5,1.0,3.0,4487,47.49,9.6,20.55
-2.0,1.0,2.0,1894,48.2,6.4,15.96
-2.5,1.0,2.0,669,48.88,6.3,14.64
-1.5,1.0,2.0,4487,47.49,5.3,13.73
-2.0,1.5,3.0,1894,48.2,7.3,13.42
-2.5,1.5,3.0,669,48.88,6.9,11.89
-1.5,1.5,3.0,4487,47.49,5.9,11.34
-2.0,1.0,1.5,1894,48.2,3.4,9.68
-2.5,1.0,1.5,669,48.88,3.1,8.27
-1.5,1.0,1.5,4487,47.49,2.4,7.21
-2.0,2.0,3.0,1894,48.2,4.1,7.07
-2.0,1.5,2.0,1894,48.2,2.7,5.93
-2.5,2.0,3.0,669,48.88,3.3,5.27
-1.5,2.0,3.0,4487,47.49,2.8,4.98
-2.5,1.5,2.0,669,48.88,2.1,4.3
-1.5,1.5,2.0,4487,47.49,1.5,3.46
-2.0,2.0,2.0,1894,48.2,-0.4,-0.83
-2.0,1.5,1.5,1894,48.2,-0.3,-0.84
-2.5,1.5,1.5,669,48.88,-1.1,-2.42
-2.5,2.0,2.0,669,48.88,-1.4,-2.58
-1.5,2.0,2.0,4487,47.49,-1.6,-3.25
-1.5,1.5,1.5,4487,47.49,-1.4,-3.5
-2.0,2.0,1.5,1894,48.2,-3.5,-7.6
-2.5,2.0,1.5,669,48.88,-4.6,-9.18
-1.5,2.0,1.5,4487,47.49,-4.4,-10.19
